tensor(2.9248, grad_fn=<DivBackward0>)
tensor(2.7666, grad_fn=<DivBackward0>)
tensor(2.9927, grad_fn=<DivBackward0>)
tensor(2.6461, grad_fn=<DivBackward0>)
tensor(2.9339, grad_fn=<DivBackward0>)
tensor(2.5946, grad_fn=<DivBackward0>)
tensor(2.9432, grad_fn=<DivBackward0>)
tensor(2.6579, grad_fn=<DivBackward0>)
tensor(2.9802, grad_fn=<DivBackward0>)
tensor(2.5325, grad_fn=<DivBackward0>)
tensor(3.0564, grad_fn=<DivBackward0>)
tensor(2.8498, grad_fn=<DivBackward0>)
tensor(3.1290, grad_fn=<DivBackward0>)
tensor(2.3282, grad_fn=<DivBackward0>)
tensor(2.9016, grad_fn=<DivBackward0>)
tensor(2.4163, grad_fn=<DivBackward0>)
tensor(3.5570, grad_fn=<DivBackward0>)
tensor(3.2065, grad_fn=<DivBackward0>)
tensor(3.1948, grad_fn=<DivBackward0>)
tensor(2.4965, grad_fn=<DivBackward0>)
tensor(3.3828, grad_fn=<DivBackward0>)
tensor(2.4289, grad_fn=<DivBackward0>)
tensor(3.4839, grad_fn=<DivBackward0>)
tensor(2.5102, grad_fn=<DivBackward0>)
tensor(2.6023, grad_fn=<DivBackward0>)
tensor(2.1101, grad_fn=<DivBackward0>)
tensor(3.2390, grad_fn=<DivBackward0>)
tensor(2.7863, grad_fn=<DivBackward0>)
tensor(3.4343, grad_fn=<DivBackward0>)
tensor(2.4348, grad_fn=<DivBackward0>)
tensor(3.0368, grad_fn=<DivBackward0>)
tensor(1.9821, grad_fn=<DivBackward0>)
tensor(3.2168, grad_fn=<DivBackward0>)
tensor(2.6900, grad_fn=<DivBackward0>)
tensor(3.6187, grad_fn=<DivBackward0>)
tensor(2.2061, grad_fn=<DivBackward0>)
tensor(4.0202, grad_fn=<DivBackward0>)
tensor(2.2359, grad_fn=<DivBackward0>)
tensor(4.0684, grad_fn=<DivBackward0>)
tensor(2.0766, grad_fn=<DivBackward0>)
tensor(3.3235, grad_fn=<DivBackward0>)
tensor(2.6811, grad_fn=<DivBackward0>)
tensor(2.7853, grad_fn=<DivBackward0>)
tensor(2.9593, grad_fn=<DivBackward0>)
tensor(3.0480, grad_fn=<DivBackward0>)
tensor(2.7609, grad_fn=<DivBackward0>)
tensor(3.2807, grad_fn=<DivBackward0>)
tensor(2.6139, grad_fn=<DivBackward0>)
tensor(2.8800, grad_fn=<DivBackward0>)
tensor(3.1675, grad_fn=<DivBackward0>)
tensor(3.0238, grad_fn=<DivBackward0>)
tensor(3.2383, grad_fn=<DivBackward0>)
tensor(2.4073, grad_fn=<DivBackward0>)
tensor(2.7988, grad_fn=<DivBackward0>)
tensor(2.2179, grad_fn=<DivBackward0>)
tensor(3.5129, grad_fn=<DivBackward0>)
tensor(2.4447, grad_fn=<DivBackward0>)
tensor(3.0207, grad_fn=<DivBackward0>)
tensor(2.1003, grad_fn=<DivBackward0>)
tensor(2.4666, grad_fn=<DivBackward0>)
